RefSeq	Chr	Strand	Start	End	Symbol
AC148152.3_FGT001	2	-	232028660	232030497	AC148152.3_FG001
AC148152.3_FGT005	2	-	231952641	231954277	AC148152.3_FG005
AC148152.3_FGT006	2	+	231907845	231911227	AC148152.3_FG006
AC148152.3_FGT008	2	-	231879064	231883597	AC148152.3_FG008
AC148167.6_FGT001	7	+	11670461	11676398	AC148167.6_FG001
AC149475.2_FGT002	9	-	152751856	152754681	AC149475.2_FG002
AC149475.2_FGT003	9	-	152756799	152761381	AC149475.2_FG003
AC149475.2_FGT005	9	+	152791244	152801912	AC149475.2_FG005
AC149475.2_FGT007	9	-	152822527	152823205	AC149475.2_FG007
AC149810.2_FGT003	9	-	151852072	151859909	AC149810.2_FG003
AC149810.2_FGT004	9	-	151863691	151864339	AC149810.2_FG004
AC149810.2_FGT008	9	+	151897572	151900165	AC149810.2_FG008
AC149818.2_FGT001	9	+	152681210	152686897	AC149818.2_FG001
AC149818.2_FGT004	9	+	152703157	152703638	AC149818.2_FG004
AC149818.2_FGT005	9	-	152707553	152708771	AC149818.2_FG005
AC149818.2_FGT006	9	-	152709299	152712095	AC149818.2_FG006
AC149818.2_FGT007	9	-	152719946	152721236	AC149818.2_FG007
AC149818.2_FGT008	9	-	152726607	152728503	AC149818.2_FG008
AC149818.2_FGT009	9	-	152747406	152748234	AC149818.2_FG009
AC149828.2_FGT002	9	+	150685412	150689960	AC149828.2_FG002
AC149828.2_FGT004	9	+	150753587	150753980	AC149828.2_FG004
AC149828.2_FGT005	9	+	150774647	150775421	AC149828.2_FG005
AC149829.2_FGT002	9	-	151382930	151383185	AC149829.2_FG002
AC149829.2_FGT003	9	-	151384633	151388392	AC149829.2_FG003
AC149829.2_FGT004	9	-	151395821	151396321	AC149829.2_FG004
AC149829.2_FGT006	9	-	151415829	151417116	AC149829.2_FG006
AC150739.3_FGT001	9	+	155450360	155454202	AC150739.3_FG001
AC152495.1_FGT002	10	-	3283522	3287419	AC152495.1_FG002
